max_change,min_change,start,end,amount,turn,change,up_count,down_count,name,industry,class
1.6800000000000002,-1.88,19.44,19.2,406417.4790754257,4.717896107055961,5.31,210,201,特发信息,通信设备,0
1.29,-1.23,13.9,14.27,282386.85498783464,3.2421489051094894,5.31,220,191,登海种业,种植业,0
0.93,-0.75,10.28,10.27,460123.19382716046,5.043585679012344,5.24,215,190,赤峰黄金,黄金,0
1.53,-1.5,18.05,18.57,378123.16131386865,2.372387591240876,5.07,211,200,华创阳安,证券,0
1.28,-1.25,14.0,14.04,279314.7774452555,6.474184428223843,4.96,221,190,欣龙控股,纺织,0
2.61,-2.77,28.0,28.72,353066.2257907542,2.600251581508516,4.87,216,195,鲁信创投,多元金融,0
1.22,-1.25,15.41,15.67,335072.79270073,0.5978922141119222,4.84,202,209,金地集团,全国地产,0
2.01,-1.82,22.01,22.1,456889.3662530413,5.289472262773723,4.76,219,192,顺灏股份,造纸,0
1.33,-1.47,15.79,14.74,394248.9750121655,5.637936496350363,4.73,220,191,复旦复华,化学制药,0
1.43,-1.52,15.93,15.75,265540.6983941605,4.128405839416058,4.64,204,207,新五丰,农业综合,0
1.2,-1.14,13.69,13.7,264836.2622871046,4.633545498783454,4.54,217,194,云南锗业,小金属,0
1.21,-1.3,13.9,13.63,348749.68564476894,2.5419209245742103,4.54,215,196,常山北明,软件服务,0
1.59,-1.66,18.0,17.82,301344.1502676399,3.6607145985401464,4.53,204,207,唐人神,饲料,0
0.8200000000000001,-0.8200000000000001,8.4,9.01,393699.72165450116,3.0620316301703165,4.51,220,191,蓝色光标,广告包装,0
1.91,-2.1,20.09,21.0,444098.8858880777,5.008933333333333,4.5,216,195,海特高新,航空,0
1.27,-1.29,14.86,15.16,273649.8720698254,5.586647630922696,4.5,203,198,三维通信,互联网,0
0.99,-1.09,12.0,11.9,287903.2892944039,0.8471610705596109,4.47,221,190,长安汽车,汽车整车,0
1.42,-1.57,16.11,15.66,299731.90021897806,4.370587834549879,4.37,226,185,模塑科技,汽车配件,0
3.96,-3.76,45.21,46.7,264884.40413625306,2.8437352798053532,4.34,209,202,广晟有色,小金属,0
1.16,-1.2,13.17,13.14,379646.4817518249,5.5408708029197085,4.28,214,197,拓维信息,互联网,0
2.84,-2.92,31.0,31.23,424433.5508515815,1.6188647201946471,4.27,199,212,均胜电子,汽车配件,0
0.75,-1.06,12.84,12.86,261652.6722627737,1.0295510948905109,4.25,217,194,光线传媒,影视音像,0
1.55,-1.62,19.25,19.55,285095.9530413625,2.2249890510948904,4.22,220,191,神州信息,软件服务,0
1.93,-2.12,21.0,21.25,312333.599756691,4.832275912408759,4.21,209,202,银之杰,软件服务,0
1.82,-2.02,21.0,20.48,334384.5165450122,3.1698902676399032,4.2,217,194,大富科技,通信设备,0
1.75,-1.87,19.54,19.62,321704.40413625306,0.3580686131386861,4.11,216,195,招商证券,证券,0
1.38,-1.57,16.5,15.86,267743.01605839416,0.4958635036496351,4.08,197,214,国投资本,证券,0
1.13,-1.08,12.44,12.43,436912.9046228711,1.49338102189781,4.02,213,198,国金证券,证券,0
1.26,-1.23,13.39,13.89,411939.1619221411,3.5342805352798057,3.99,221,190,泰达股份,批发业,0
3.04,-1.47,15.99,15.99,471211.4781818182,12.972578787878788,3.93,35,31,东岳硅材,化工原料,0
1.18,-1.3,13.43,12.98,475431.4879805353,2.880271776155718,3.92,200,211,大智慧,软件服务,0
3.24,-2.85,45.8,45.09,276082.93309002434,0.75924501216545,3.9,206,205,中航光电,元器件,0
2.06,-2.28,23.4,22.78,348009.54734793183,7.437522627737228,3.88,222,189,全柴动力,农用机械,0
0.71,-0.8200000000000001,8.85,9.02,331516.56350364967,2.14097396593674,3.67,224,187,中国宝安,综合类,0
