industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
元器件,新光光电,32.08,-15.4,103.8,103.8,139730.65746606333,10.098020361990951,5.91,110,111
电气设备,智光电气,0.88,-1.06,11.2,11.41,269401.30486618006,4.768146715328467,5.9,224,187
化工原料,永悦科技,2.31,-2.88,28.69,28.76,65095.951776155714,4.827152798053528,5.9,222,189
化学制药,联环药业,1.96,-1.77,22.35,21.52,122980.69447688562,3.4063776155717758,5.9,229,182
软件服务,美亚柏科,1.98,-1.79,24.55,24.87,189371.25724815726,1.9235216216216215,5.89,206,201
化工原料,中石科技,3.95,-3.91,46.58,43.72,170831.9515815085,7.302697323600973,5.88,208,203
农药化肥,利民股份,1.5,-1.48,18.25,18.1,61978.70513381996,1.8151776155717763,5.88,223,188
化学制药,黄山胶囊,1.44,-2.3,26.89,25.82,31450.77771289538,2.5990399026763993,5.88,227,184
电气设备,聆达股份,2.25,-2.04,26.48,25.8,80824.1692457421,2.107092457420925,5.88,210,201
化工原料,红墙股份,2.07,-1.73,24.0,24.9,41986.67532846716,2.8689277372262776,5.86,215,196
汽车配件,玲珑轮胎,1.39,-2.21,24.37,24.31,108879.40510948905,0.7757656934306569,5.86,216,195
环境保护,惠城环保,5.98,-5.72,56.8,57.24,122576.42722053232,12.966372623574145,5.85,141,122
钢加工,汇金通,1.72,-1.77,19.01,18.96,60562.96866180048,4.301997566909975,5.82,210,201
专用机械,宁波精达,1.09,-1.38,15.89,15.82,25406.082287104622,1.655103892944039,5.82,233,178
电器仪表,海康威视,2.55,-3.53,39.0,39.4,1563393.7481662591,0.6380672371638141,5.81,203,206
半导体,有研新材,1.25,-1.51,16.38,16.7,485888.72773722635,4.894105839416059,5.81,237,174
元器件,惠伦晶体,2.11,-2.61,27.5,27.47,77280.38447688564,3.219288564476886,5.81,217,194
元器件,中光学,2.29,-2.65,28.6,28.89,138159.80272277226,3.3763982673267323,5.81,202,202
乳制品,燕塘乳业,2.07,-2.08,25.14,25.3,39249.81192214112,1.2438963503649634,5.8,210,201
化工原料,永太科技,1.69,-1.86,19.0,18.62,268221.8581751825,3.8054888077858875,5.8,214,197
化学制药,复星医药,3.09,-2.62,38.5,37.58,784781.5182481752,1.3931883211678833,5.77,212,199
航空,洪都航空,1.55,-1.51,18.5,18.25,204993.34817518247,2.023471289537713,5.77,225,186
电器仪表,康斯特,1.76,-1.72,19.86,19.35,25641.138978102186,1.9032452554744526,5.76,214,197
